"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"1","20240702141007NAL0003604595001","2023-01-01","2023-12-31","HAMPTON ROADS COMMUNITY ACTION PROGRAM, INC. ERISA 403(B) PLAN","1987-09-28","2G2L2K","HAMPTON ROADS COMMUNITY ACTION PROGRAM, INC.","VA",237014485,624200,234,224,0,6898,0,1539,33214,28505,2824129,3208793,"Community food and housing, and emergency and other relief services"
"2","20240703101058NAL0006222017001","2023-01-01","2023-12-31","MARKEL GROUP INC. RETIREMENT SAVINGS PLAN","1986-01-01","2E2F2G2J2K2S2T","MARKEL GROUP INC.","VA",541959284,524150,4627,4875,0,0,0,0,6748930,7158275,722579621,839322571,"Direct insurance carriers agencies and brokerages"
"3","20240703141103NAL0007363505001","2023-01-01","2023-12-31","DEKKER/PERICH/SABATINI, LTD. 401(K) PROFIT SHARING PLAN","1991-01-01","2E2F2G2J2K2S2T3D","DEKKER/PERICH/SABATINI, LTD.","NM",850367023,541310,253,250,0,0,857,764,83734,63790,17333398,19822542,"Architectural services"
"4","20240616111635NAL0000841426001","2023-01-01","2023-12-31","PRESIDENT CONTAINER GROUP II, LLC 401(K) PLAN","1993-01-01","2A2E2F2G2J2K2T3D3H","PRESIDENT CONTAINER GROUP II, LLC","NJ",271581303,322200,140,125,13587,15768,1856,1998,229698,184890,11424418,11511108,"Converted paper product manufacturing"
"5","20240619132348NAL0002724307001","2023-01-01","2023-12-31","COGENT, INC. PROFIT SHARING 401(K) PLAN","1995-12-01","3H2E2F2G2J2K3D","COGENT, INC.","MO",440582909,811310,259,290,0,0,0,0,213517,305347,23449011,29391669,"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance"
"6","20240619060244NAL0007719538001","2023-01-01","2023-12-31","SABINAL ADMINISTRATIVE SERVICES, LLC 401(K) PLAN","2016-08-01","3B3H2E2F2T3D2G2J2K","SABINAL ADMINISTRATIVE SERVICES, LLC","TX",611796249,211120,158,142,0,0,88867,0,0,0,11549480,12742100,"Crude petroleum extraction"
"7","20240620133608NAL0001342225001","2023-01-01","2023-12-31","HOSPICE OF THE NORTH COAST 401(K) PLAN","2009-01-01","2E2F2G2J2K2S2T3D","HOSPICE OF THE NORTH COAST","CA",953646269,623000,160,174,0,0,0,0,78592,60039,4693932,6481853,"Nursing and residential care facilities"
"8","20240620135804NAL0002911218001","2023-01-01","2023-12-31","INVESTMENT CORPORATION OF PALM BEACH 401(K) PLAN","1996-01-01","2E2F2G2J2K2T3B3D","INVESTMENT CORPORATION OF PALM BEACH","FL",591318711,711210,199,215,0,0,0,0,0,0,11497413,12423047,"Spectator sports"
"9","20240701141924NAL0002911683001","2023-01-01","2023-12-31","BEST BUY RETIREMENT SAVINGS PLAN","1990-10-01","2E2F2G2J2K2T3H","BEST BUY ENTERPRISE SERVICES, INC.","MN",550805038,443142,59876,57049,4001389,4010711,1743033,1743296,5684541,2810560,2439207665,2853415966,"Electronics stores"
"10","20240701115422NAL0005450096001","2023-01-01","2023-12-31","GCI 401(K) PLAN","1987-01-01","2E2F2G2J2K2T3H3D2R","GCI COMMUNICATION CORP.","AK",920134871,517000,1765,1761,410544,446703,763160,768205,3952387,4649254,350006342,401720597,"Telecommunications"
