"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"1","20240616111635NAL0000841426001","2023-01-01","2023-12-31","PRESIDENT CONTAINER GROUP II, LLC 401(K) PLAN","1993-01-01","2A2E2F2G2J2K2T3D3H","PRESIDENT CONTAINER GROUP II, LLC","NJ",271581303,322200,140,125,13587,15768,1856,1998,229698,184890,11424418,11511108,"Converted paper product manufacturing"
"2","20240701141924NAL0002911683001","2023-01-01","2023-12-31","BEST BUY RETIREMENT SAVINGS PLAN","1990-10-01","2E2F2G2J2K2T3H","BEST BUY ENTERPRISE SERVICES, INC.","MN",550805038,443142,59876,57049,4001389,4010711,1743033,1743296,5684541,2810560,2439207665,2853415966,"Electronics stores"
"3","20240701115422NAL0005450096001","2023-01-01","2023-12-31","GCI 401(K) PLAN","1987-01-01","2E2F2G2J2K2T3H3D2R","GCI COMMUNICATION CORP.","AK",920134871,517000,1765,1761,410544,446703,763160,768205,3952387,4649254,350006342,401720597,"Telecommunications"
"4","20240703052846NAL0004210147001","2023-01-01","2023-12-31","EKF 401(K) RETIREMENT PLAN","2017-09-24","2A2E2F2G2J2K2R3D","EKF DIAGNOSTICS, INC. DBA STANBIO LABORATORY","TX",453356270,339110,116,115,919,15195,919,10330,116072,175020,5298218,5601381,"Medical equipment and supplies manufacturing"
"5","20240702112432NAL0005496705001","2023-01-01","2023-12-31","BANK OF BRIDGER 401(K) SAFE HARBOR PLAN","2000-01-01","2E3D2G2J2K2F2T3H","BANK OF BRIDGER, N.A.","MT",830129675,522110,118,116,15358,15467,8079,8364,41574,102906,11457628,12643453,"Commercial banking"
"6","20240621143113NAL0001761251001","2023-01-01","2023-12-31","AFFINITY GAMING RETIREMENT SAVINGS PLAN","2001-10-01","2E2F2G2J2K2T3D3H","AFFINITY GAMING","NV",20815199,721120,410,485,155,31761,39,2438,318851,419026,14375786,34839208,"Casino hotels"
"7","20240701135024NAL0004230769001","2023-01-01","2023-12-31","SALT LAKE COMMUNITY ACTION PROGRAM 401(K) PLAN","2014-03-01","2E2F2G2J2K2S2T3D","SALT LAKE COMMUNITY ACTION PROGRAM","UT",870269683,624200,744,756,39449,44948,24678,29762,204761,204510,13622646,16708085,"Community food and housing, and emergency and other relief services"
"8","20240702192924NAL0008418640001","2023-01-01","2023-12-31","MATTEL, INC. PERSONAL INVESTMENT PLAN","1983-11-01","2F2J2K2S2T2A2E2G","MATTEL, INC.","CA",951567322,423920,7408,7427,1846000,1268000,1496000,971000,5283000,5934000,1047319000,1168467000,"Toy and hobby goods and supplies merchant wholesalers"
"9","20240703095242NAL0009348192001","2023-01-01","2023-12-31","AAFCPAS, INC 401(K) SAVINGS PLAN","1985-11-10","2E2F2G2J2K2R2T3D","AAFCPAS, INC.","MA",42571780,541211,362,378,118297,219925,88310,76078,182453,254595,36681724,46858108,"Offices of certified public accountants"
"10","20240618100810NAL0005438290001","2023-01-01","2023-12-31","CXTEC INC. RETIREMENT & PROFIT SHARING PLAN","1983-11-01","2E2F2G2J2K2T3D","CXTEC INC.","NY",161105670,334110,331,330,25730,31522,118139,86783,446371,428594,44345022,52118466,"Computer and peripheral equipment manufacturing"
"11","20240620131221NAL0000949651001","2023-01-01","2023-12-31","KEMBA FINANCIAL CREDIT UNION, INC. 401(K) PROFIT SHARING PLAN","1997-07-01","2T2E2F2G2J2K2S3D","KEMBA FINANCIAL CREDIT UNION, INC.","OH",316034826,522130,371,384,50638,54657,865922,720722,62552,62888,22023602,27032101,"Credit unions"
"12","20240618142604NAL0002797793001","2023-01-01","2023-12-31","PINNACLE WEST CAPITAL CORPORATION SAVINGS PLAN","1987-01-01","2E2F2G2J2K2O2R2S2T3F3H","PINNACLE WEST CAPITAL CORPORATION","AZ",860512431,551112,7553,7750,1257016,1598239,392942,499276,19818571,20950221,1290988455,1467517436,"Offices of other holding companies"
"13","20240703082317NAL0004177555001","2023-01-01","2023-12-31","TAYLOR TRUCK LINE INC. 401(K) PLAN","1996-01-01","2E2F2G2J2K2T3D","TAYLOR TRUCK LINE INC.","MN",411646445,484120,115,119,7250,8388,95209,91261,128254,80117,6083704,7454379,"General freight trucking, long-distance"
