"","ADEQUACY_LABEL","ADEQUACY_IND","ADEQUACY_SCORE","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_EFFECTIVE_YEAR","PLAN_VINTAGE_GROUP","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","INDUSTRY_TITLE","SECTOR_CODE","SECTOR_TITLE","SECTOR_TITLE_SHORT","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","PARTCP_GROWTH_RATE","PARTCP_GROWTH_TIER","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","CONTRIB_PARTCP_GROWTH_RATE","CONTRIB_PARTCP_GROWTH_TIER","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","CONTRIB_EMPLR_GROWTH_RATE","CONTRIB_EMPLR_GROWTH_TIER","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","LOAN_LEAKAGE_RATIO","LOAN_LEAKAGE_TIER","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","TOTAL_ASSETS_GROWTH_RATE","TOTAL_ASSETS_GROWTH_TIER","ASSETS_PER_PARTCP","ASSETS_PER_PARTCP_TIER"
"1","Inadequate","0",1,"20241009164802NAL0010855123001","2023-01-01","2023-12-31","BELLSOUTH SAVINGS AND SECURITY PLAN","1979-01-01",1979,"Legacy","2E2F2G2I2J2K2O2T3F3H","BELLSOUTH, LLC","TX",581533433,517000,"Telecommunications",510000,"Information","Information",12631,11911,-0.057,"Negative",199000,6000,-0.9698,"Negative",70000,2000,-0.9714,"Negative",48545000,49318000,0.0212,"Moderate",2136545000,2328607000,0.0899,"Negative",195501,"High"
"2","Inadequate","0",2,"20241014140400NAL0044799664001","2023-01-01","2023-12-31","CAPITAL NEWSPAPERS EMPLOYEE SAVINGS PLAN","1989-08-01",1989,"Legacy","2K2G2J3H2E2F","THE HEARST CORPORATION","NC",130433120,511110,"Newspaper publishers",510000,"Information","Information",192,178,-0.0729,"Negative",7439,5428,-0.2703,"Negative",5566,4917,-0.1166,"Negative",210778,187358,0.0102,"Low",18148647,18452558,0.0167,"Negative",103666,"High"
"3","Inadequate","0",3,"20240701115422NAL0005450096001","2023-01-01","2023-12-31","GCI 401(K) PLAN","1987-01-01",1987,"Legacy","2E2F2G2J2K2T3H3D2R","GCI COMMUNICATION CORP.","AK",920134871,517000,"Telecommunications",510000,"Information","Information",1765,1761,-0.0023,"Typical",410544,446703,0.0881,"Typical",763160,768205,0.0066,"Typical",3952387,4649254,0.0116,"Low",350006342,401720597,0.1478,"Typical",228121,"High"
"4","Inadequate","0",1,"20241015095413NAL0014350531001","2023-01-01","2023-12-31","EMMERICH NEWSPAPERS, INC. 401(K) PLAN","1973-12-31",1973,"Legacy","2E2F2G2J2K2T3D","EMMERICH NEWSPAPERS, INC.","MS",640544014,511110,"Newspaper publishers",510000,"Information","Information",155,145,-0.0645,"Negative",6532,5271,-0.193,"Negative",5619,4189,-0.2545,"Negative",39743,46604,0.0094,"Low",4780347,4935980,0.0326,"Negative",34041,"Low"
"5","Inadequate","0",3,"20240923145103NAL0015631536001","2023-01-01","2023-12-31","QUALCOMM INCORPORATED EMPLOYEE SAVINGS AND RETIREMENT PLAN","1986-10-01",1986,"Legacy","2F2G2J2K2T2R2E","QUALCOMM INCORPORATED","CA",953685934,517000,"Telecommunications",510000,"Information","Information",23090,22993,-0.0042,"Typical",9615376,9607236,-8e-04,"Typical",7661135,7591705,-0.0091,"Typical",28928901,29618724,0.0036,"Low",6515765782,8145500629,0.2501,"High",354260,"High"
"6","Adequate","1",4,"20241011165016NAL0037748656001","2023-01-01","2023-12-31","CONTEGIX 401(K) PLAN","1988-05-01",1988,"Legacy","2E2F2G2J2K2T3D","STRATUS MIDCO, INC.","MO",814307567,518210,"Computing infrastructure providers, data processing, web hosting, and related services",510000,"Information","Information",119,111,-0.0672,"Negative",28105,18937,-0.3262,"Negative",8133,9821,0.2075,"High",73303,48458,0.006,"Low",6238559,8081921,0.2955,"High",72810,"Moderate"
"7","Inadequate","0",3,"20241014144024NAL0046399728001","2023-01-01","2023-12-31","HEARST RETIREMENT SAVINGS PLAN","1987-01-01",1987,"Legacy","2G2J2K3H2S2E2T2F","THE HEARST CORPORATION","NC",130433120,511190,"Other publishers",510000,"Information","Information",22558,23146,0.0261,"Typical",2149299,2353116,0.0948,"Typical",25491437,18785411,-0.2631,"Negative",16418345,16821688,0.0062,"Low",2249174005,2708405192,0.2042,"Typical",117014,"High"
"8","Adequate","1",4,"20240814104955NAL0006453443001","2023-01-01","2023-12-31","TEGNA 401(K) SAVINGS PLAN","1989-10-01",1989,"Legacy","2H2J2K2R2S2T3H3I2E","TEGNA INC.","VA",160442930,515100,"Radio and television broadcasting",510000,"Information","Information",9931,9778,-0.0154,"Typical",1403905,1440853,0.0263,"Typical",1404004,1546279,0.1013,"High",4291080,4589145,0.0051,"Low",815099513,897314618,0.1009,"Negative",91769,"Moderate"
"9","Inadequate","0",2,"20241015090445NAL0047130368001","2023-01-01","2023-12-31","THE NEW YORK TIMES COMPANY PAYROLL INVESTMENT PLAN","1970-01-01",1970,"Legacy","2E2F2G2K2T3F3H","THE NEW YORK TIMES COMPANY","NY",131102020,511110,"Newspaper publishers",510000,"Information","Information",460,416,-0.0957,"Negative",9342,8816,-0.0563,"Typical",934,882,-0.0557,"Typical",141540,87506,0.0036,"Low",22085230,24405221,0.105,"Negative",58666,"Moderate"
"10","Adequate","1",5,"20240802130509NAL0037961712001","2023-01-01","2023-12-31","ESKER, INC. 401(K) SAVINGS PLAN","1987-08-01",1987,"Legacy","2E2F2G2J2K2S2T3D3H","ESKER, INC.","WI",330178444,511210,"Software publishers",510000,"Information","Information",305,318,0.0426,"Typical",127342,137927,0.0831,"Typical",113918,129852,0.1399,"High",129094,180984,0.0053,"Low",26679946,34238187,0.2833,"High",107667,"High"
"11","Adequate","1",5,"20241015085923NAL0048574912001","2023-01-01","2023-12-31","THE NEW YORK TIMES COMPANIES SUPPLEMENTAL RETIREMENT AND INVESTMENT PLAN","1971-08-01",1971,"Legacy","2E2F2G2J2K2T","THE NEW YORK TIMES COMPANY","NY",131102020,511110,"Newspaper publishers",510000,"Information","Information",5231,5838,0.116,"High",20157,5488,-0.7277,"Negative",429,4294510,10009.5128,"High",3437958,3665807,0.0032,"Low",940331210,1150998993,0.224,"Typical",197156,"High"
"12","Inadequate","0",3,"20241008131155NAL0016705297001","2023-01-01","2023-12-31","INDUSTRIAL COMMUNICATIONS & ELECTRONICS 401(K) RETIREMENT PLAN","1984-07-01",1984,"Legacy","2F2E2G2J2K2T3H3D","INDUSTRIAL COMMUNICATIONS & ELECTRONICS, INC.","MA",26157308,517000,"Telecommunications",510000,"Information","Information",106,105,-0.0094,"Typical",26900,28069,0.0435,"Typical",9217,9113,-0.0113,"Typical",159733,238868,0.0127,"Low",15679843,18735361,0.1949,"Typical",178432,"High"
"13","Adequate","1",4,"20241002084025NAL0003898003001","2023-01-01","2023-12-31","MHC 401(K) PLAN","1985-05-01",1985,"Legacy","2E2F2G2J2K3D","MHC SOFTWARE HOLDINGS, INC.","MN",842954086,511210,"Software publishers",510000,"Information","Information",186,194,0.043,"Typical",44598,57898,0.2982,"High",45593,40241,-0.1174,"Negative",198787,328751,0.0153,"Moderate",18564500,21512290,0.1588,"Typical",110888,"High"
"14","Inadequate","0",3,"20241007183957NAL0009115891001","2023-01-01","2023-12-31","OUTRIGGER HOTELS HAWAII PROFIT SHARING AND RETIREMENT SAVINGS PLAN","1968-01-01",1968,"Legacy","2E2F2G2J2K2R2S2T3B","OUTRIGGER HOTELS HAWAII","HI",990241640,721110,"Hotels (except casino hotels) and motels",720000,"Accommodation and food services","Accommodatio...",2186,2547,0.1651,"High",293284,303836,0.036,"Typical",1847882,2058540,0.114,"High",2437265,2574914,0.0174,"Moderate",128995937,147849930,0.1462,"Typical",58049,"Moderate"
"15","Inadequate","0",2,"20241004144837NAL0006788611001","2023-01-01","2023-12-31","RESTAURANT MANAGEMENT COMPANY OF WICHITA, INC. 401(K) SAVINGS PLAN","1987-01-01",1987,"Legacy","2E2F2G2J2K2T3D3H","RESTAURANT MANAGEMENT COMPANY OF WICHITA, INC.","KS",481010914,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",223,215,-0.0359,"Typical",8801,9534,0.0833,"Typical",45,295,5.5556,"High",266645,205453,0.0156,"Moderate",13366582,13170622,-0.0147,"Negative",61259,"Moderate"
"16","Inadequate","0",2,"20241014152017NAL0015193859001","2023-01-01","2023-12-31","BODDIE-NOELL ENTERPRISES, INC. SAVINGS AND EMPLOYEE RETIREMENT PLAN","1966-10-01",1966,"Legacy","2E2F2G2J2K2T","BODDIE-NOELL ENTERPRISES, INC.","NC",560751071,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",1272,1206,-0.0519,"Negative",18880,37415,0.9817,"High",5586,8387,0.5014,"High",1727894,1518143,0.0254,"Moderate",56220295,59820760,0.064,"Negative",49603,"Low"
"17","Inadequate","0",2,"20240626105000NAL0009334161001","2023-01-01","2023-12-31","DOMINO'S PIZZA 401(K) SAVINGS PLAN","1984-01-01",1984,"Legacy","2E2G2J2K2T3D","DOMINO'S PIZZA LLC","MI",383495003,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",4634,4540,-0.0203,"Typical",11068,10510,-0.0504,"Typical",6158,5954,-0.0331,"Typical",6713965,7848249,0.019,"Moderate",353603679,412593774,0.1668,"Typical",90880,"Moderate"
"18","Inadequate","0",2,"20241012163927NAL0040353472001","2023-01-01","2023-12-31","HILTON PUERTO RICO RETIREMENT SAVINGS PLAN","1982-01-01",1982,"Legacy","2E2F2G2J2K2T3H3J","HILTON INTERNATIONAL LLC","VA",131582113,721110,"Hotels (except casino hotels) and motels",720000,"Accommodation and food services","Accommodatio...",496,481,-0.0302,"Typical",16366,15236,-0.069,"Typical",4339,4632,0.0675,"Typical",233336,275877,0.0129,"Low",17854078,21437095,0.2007,"Typical",44568,"Low"
"19","Inadequate","0",1,"20240924093131NAL0022581600001","2023-01-01","2023-12-31","CLUB MED SALES AND MANAGEMENT EMPLOYEE RETIREMENT PLAN","1987-10-26",1987,"Legacy","2E2F2G2J2K3D3H","CLUB MED SALES, INC.","FL",133458703,721199,"All other traveler accommodation",720000,"Accommodation and food services","Accommodatio...",263,264,0.0038,"Typical",1385,1385,0,"Typical",80352,80352,0,"Typical",318514,272074,0.0179,"Moderate",13074611,15234841,0.1652,"Typical",57708,"Moderate"
"20","Inadequate","0",3,"20241004152529NAL0012389601001","2023-01-01","2023-12-31","SLI ENTERPRISES 401(K) PROFIT SHARING PLAN","1985-07-01",1985,"Legacy","2E2F2G2J2K2T3D3H","SLI ENTERPRISES, INC.","TX",751891968,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",551,557,0.0109,"Typical",5126,6488,0.2657,"High",225000,250000,0.1111,"High",113247,192606,0.0387,"High",4115496,4970734,0.2078,"Typical",8924,"Low"
"21","Adequate","1",4,"20241003174715NAL0010272753001","2023-01-01","2023-12-31","DORCHESTER COLLECTION 401(K) PLAN","1988-01-01",1988,"Legacy","2E2F2G2J2K2S2T3H3D","SAJAHTERA, INC. DBA THE BEVERLY HILLS HOTEL","CA",954126938,721110,"Hotels (except casino hotels) and motels",720000,"Accommodation and food services","Accommodatio...",888,960,0.0811,"High",125209,146203,0.1677,"High",142604,81859,-0.426,"Negative",1876904,2054213,0.0296,"Moderate",57090539,69474421,0.2169,"Typical",72369,"Moderate"
"22","Adequate","1",5,"20241011133421NAL0022842737001","2023-01-01","2023-12-31","PARASOLE EMPLOYEE 401(K) PROFIT SHARING & SAVINGS PLAN","1989-10-01",1989,"Legacy","2E2F2G2J2K2T3D3H","PARASOLE RESTAURANT HOLDINGS, INC.","MN",411570783,722511,"Full-service restaurants",720000,"Accommodation and food services","Accommodatio...",246,420,0.7073,"High",8727,12674,0.4523,"High",225000,248680,0.1052,"High",73300,49150,0.0062,"Low",6801027,7976726,0.1729,"Typical",18992,"Low"
"23","Adequate","1",4,"20240725123710NAL0022423520001","2023-01-01","2023-12-31","BROCK AND COMPANY, INC. 401K RETIREMENT PLAN","1985-09-01",1985,"Legacy","2S2E3D2G2J2K2F2T","BROCK AND COMPANY, INC.","PA",231294892,722300,"Special food services",720000,"Accommodation and food services","Accommodatio...",334,335,0.003,"Typical",22036,28749,0.3046,"High",4074,4920,0.2077,"High",22831,24762,0.002,"Low",9997169,12184371,0.2188,"Typical",36371,"Low"
"24","Inadequate","0",2,"20240918144354NAL0004490433001","2023-01-01","2023-12-31","MCDONALD'S CORPORATION 401(K) PLAN","1964-01-01",1964,"Legacy","2E2F2G2I2J2K2P2S2T3H3F","MCDONALDS CORPORATION AND SUBSIDIARIES","IL",362361282,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",19273,19129,-0.0075,"Typical",-667,1563,-3.3433,"Negative",2753263,2304878,-0.1629,"Negative",24391653,26251057,0.0069,"Low",3606340814,3826646303,0.0611,"Negative",200044,"High"
"25","Inadequate","0",2,"20241003055614NAL0016997776001","2023-01-01","2023-12-31","LAFRANCE BROTHERS, INC. 401(K) PROFIT SHARING PLAN","1983-03-01",1983,"Legacy","2E2F2G2J2K2T3D3H","LAFRANCE BROTHERS, INC.","MA",42187931,722511,"Full-service restaurants",720000,"Accommodation and food services","Accommodatio...",151,167,0.106,"High",29467,30150,0.0232,"Typical",16580,16678,0.0059,"Typical",107329,139949,0.017,"Moderate",6525999,8248164,0.2639,"High",49390,"Low"
"26","Inadequate","0",3,"20241008161605NAL0029205296001","2023-01-01","2023-12-31","WHATABURGER 401(K) SAVINGS PLAN","1971-10-01",1971,"Legacy","2E2F2G2J2K2T","WHATABURGER RESTAURANTS LLC","TX",301199687,722513,"Limited-service restaurants",720000,"Accommodation and food services","Accommodatio...",9796,10199,0.0411,"Typical",250310,452241,0.8067,"High",60328,107518,0.7822,"High",14363525,14868899,0.0631,"High",214955726,235760407,0.0968,"Negative",23116,"Low"
"27","Adequate","1",4,"20241009143248NAL0019441153001","2023-01-01","2023-12-31","STATE COLLECTION SERVICE, INC. 401(K) PROFIT SHARING PLAN","1983-01-01",1983,"Legacy","2A2E2F2G2J2K2T3D","STATE COLLECTION SERVICE, INC.","WI",390788995,561440,"Collection agencies",560000,"Administrative and support and waste management and remediation services","Administrati...",407,438,0.0762,"High",28213,65691,1.3284,"High",490729,532286,0.0847,"Typical",386451,375305,0.0196,"Moderate",17219572,19133762,0.1112,"Negative",43684,"Low"
